step,kind,scheduled_seq_ids,scheduled_labels,num_scheduled_seqs,prefill_tokens,decode_tokens,new_output_tokens,finished_seq_ids,step_latency_s,elapsed_s,waiting,running,used_kv_blocks,free_kv_blocks,phase
70,decode,11 12 13 14 16 17 18 19,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.04037882387638092,36.70977599918842,0,8,8,695,main
71,decode,11 12 13 14 16 17 18 19,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,,0.03742710500955582,36.74732533842325,0,8,8,695,main
72,decode,11 12 13 14 16 17 18 19,initial_short_0 initial_short_1 initial_short_2 initial_short_3 late_short_0 late_short_1 late_short_2 late_short_3,8,0,8,8,11 12 13 14,0.04018089175224304,36.78762096166611,0,4,4,699,main
73,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.038060083985328674,36.82580700516701,0,4,4,699,main
74,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.03664137423038483,36.86251974105835,0,4,4,699,main
75,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.04179216921329498,36.90437715500593,0,4,4,699,main
76,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.037708595395088196,36.94218537211418,0,4,4,699,main
77,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.03884036839008331,36.981097027659416,0,4,4,699,main
78,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.04428127408027649,37.02550220489502,0,4,4,699,main
79,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.03732123225927353,37.062927551567554,0,4,4,699,main
80,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,,0.0406709760427475,37.103664480149746,0,4,4,699,main
81,decode,16 17 18 19,late_short_0 late_short_1 late_short_2 late_short_3,4,0,4,4,16 17 18,0.03717893362045288,37.14096761494875,0,1,1,702,main
82,decode,19,late_short_3,1,0,1,1,,27.69382183253765,64.83485455065966,0,1,1,702,main
83,decode,19,late_short_3,1,0,1,1,,0.037921175360679626,64.87288097292185,0,1,1,702,main
84,decode,19,late_short_3,1,0,1,1,,0.035096146166324615,64.90803652256727,0,1,1,702,main
85,decode,19,late_short_3,1,0,1,1,,0.03649180382490158,64.94458965212107,0,1,1,702,main
86,decode,19,late_short_3,1,0,1,1,,0.03633818030357361,64.98097973316908,0,1,1,702,main
87,decode,19,late_short_3,1,0,1,1,,0.039633020758628845,65.02065830677748,0,1,1,702,main
88,decode,19,late_short_3,1,0,1,1,,0.03529182821512222,65.05601245164871,0,1,1,702,main
89,decode,19,late_short_3,1,0,1,1,,0.03467317670583725,65.09074568003416,0,1,1,702,main
90,decode,19,late_short_3,1,0,1,1,,0.03437703847885132,65.1251724883914,0,1,1,702,main
91,decode,19,late_short_3,1,0,1,1,,0.0344279482960701,65.15964633971453,0,1,1,702,main
92,decode,19,late_short_3,1,0,1,1,,0.03593643754720688,65.1956389695406,0,1,1,702,main
93,decode,19,late_short_3,1,0,1,1,,0.036678165197372437,65.23237805068493,0,1,1,702,main
94,decode,19,late_short_3,1,0,1,1,,0.03701436519622803,65.26944442093372,0,1,1,702,main
95,decode,19,late_short_3,1,0,1,1,19,0.03622996062040329,65.30575989186764,0,0,0,703,main
